num,code,comment,countifs,exclude
1,$COMPX,big index,1,0
2,$DJI,big index,1,0
3,$SPX.X,big index,1,0
4,FNGU,big index,1,0
5,IWM,big index,1,0
6,QQQ,big index,1,0
7,UVXY,reverse big index,1,0
8,FNGD,reverse triple index,1,1
9,SDOW,reverse triple index,1,1
10,SOXS,reverse triple index,1,1
11,SPXU,reverse triple index,1,1
12,SQQQ,reverse triple index,1,1
13,SOXL,triple index,1,0
14,TNA,triple index,1,0
15,TQQQ,triple index,1,0
16,TZA,triple index,1,0
17,UDOW,triple index,1,0
18,UPRO,triple index,1,0
19,AAL,,1,0
20,AAPL,,1,0
21,ABNB,,1,0
22,ABT,,1,0
23,ACHV,,1,0
24,ADBE,,1,0
25,AG,,1,0
26,AGRX,,1,0
27,AMAT,,1,0
28,AMC,,1,0
29,AMD,,1,0
30,AMZN,,1,0
31,AON,,1,0
32,ARAV,,1,0
33,ARKF,,1,0
34,ARKK,,1,0
35,ARKQ,,1,0
36,ARKW,,1,0
37,ASHR,,1,0
38,ASML,,1,0
39,ASTC,,1,0
40,ATVI,,1,0
41,AVXL,,1,0
42,AZN,,1,0
43,BA,,1,0
44,BABA,,1,0
45,BAC,,1,0
46,BARK,,1,0
47,BB,,1,0
48,BCEL,,1,0
49,BCPC,,1,0
50,BEKE,,1,0
51,BIDU,,1,0
52,BIIB,,1,0
53,BILI,,1,0
54,BLSP,,1,0
55,BNGO,,1,0
56,BNTX,,1,0
57,BRK.B,,1,0
58,BTBT,,1,0
59,BTX,,1,0
60,BZ,,1,0
61,BZQ,,1,0
62,C,,1,0
63,CAN,,1,0
64,CAT,,1,0
65,CCL,,1,0
66,CGBD,,1,0
67,CHAU,,1,0
68,CHWY,,1,0
69,CMBM,,1,0
70,COIN,,1,0
71,COST,,1,0
72,CRM,,1,0
73,CUE,,1,0
74,CVX,,1,0
75,DARE,,1,0
76,DDOG,,1,0
77,DFEN,,1,0
78,DIA,,1,0
79,DIS,,1,0
80,DM,,1,0
81,DOW,,1,0
82,EFA,,1,0
83,EFX,,1,0
84,EH,,1,0
85,EWH,,1,0
86,EWZ,,1,0
87,EXPE,,1,0
88,F,,1,0
89,FAZ,,1,0
90,FB,,1,0
91,FCEL,,1,0
92,FCX,,1,0
93,FDX,,1,0
94,FICO,,1,0
95,FNGS,,1,0
96,FRSX,,1,0
97,FSLY,,1,0
98,FUTU,,1,0
99,FXI,,1,0
100,GDX,,1,0
101,GDXJ,,1,0
102,GE,,1,0
103,GKOS,,1,0
104,GLD,,1,0
105,GM,,1,0
106,GME,,1,0
107,GOOGL,,1,0
108,GS,,1,0
109,HD,,1,0
110,HOFV,,1,0
111,HOLX,,1,0
112,HON,,1,0
113,HOOD,,1,0
114,IBKR,,1,0
115,IBM,,1,0
